------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001
TCP window size: 1.02 MByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 58024 connected with 10.0.2.22 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3]  0.0- 0.5 sec  7.38 MBytes   124 Mbits/sec
[  3]  0.5- 1.0 sec  6.50 MBytes   109 Mbits/sec
[  3]  1.0- 1.5 sec  4.38 MBytes  73.4 Mbits/sec
[  3]  1.5- 2.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  2.0- 2.5 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  2.5- 3.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  3.0- 3.5 sec  5.50 MBytes  92.3 Mbits/sec
[  3]  3.5- 4.0 sec  4.50 MBytes  75.5 Mbits/sec
[  3]  4.0- 4.5 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  4.5- 5.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  5.0- 5.5 sec  5.50 MBytes  92.3 Mbits/sec
[  3]  5.5- 6.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  6.0- 6.5 sec  4.50 MBytes  75.5 Mbits/sec
[  3]  6.5- 7.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  7.0- 7.5 sec  5.50 MBytes  92.3 Mbits/sec
[  3]  7.5- 8.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  8.0- 8.5 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  8.5- 9.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3]  9.0- 9.5 sec  4.38 MBytes  73.4 Mbits/sec
[  3]  9.5-10.0 sec  5.62 MBytes  94.4 Mbits/sec
[  3] 10.0-10.5 sec  1.89 MBytes  31.7 Mbits/sec
[  3] 10.5-11.0 sec   382 KBytes  6.26 Mbits/sec
[  3] 11.0-11.5 sec  0.00 Bytes  0.00 bits/sec
[  3] 11.5-12.0 sec  1.43 MBytes  24.0 Mbits/sec
[  3] 12.0-12.5 sec   700 KBytes  11.5 Mbits/sec
[  3] 12.5-13.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 13.0-13.5 sec   573 KBytes  9.38 Mbits/sec
[  3] 13.5-14.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 14.0-14.5 sec   573 KBytes  9.38 Mbits/sec
[  3] 14.5-15.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 15.0-15.5 sec   318 KBytes  5.21 Mbits/sec
[  3] 15.5-16.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 16.0-16.5 sec   573 KBytes  9.38 Mbits/sec
[  3] 16.5-17.0 sec   573 KBytes  9.38 Mbits/sec
[  3] 17.0-17.5 sec   636 KBytes  10.4 Mbits/sec
[  3] 17.5-18.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 18.0-18.5 sec   636 KBytes  10.4 Mbits/sec
[  3] 18.5-19.0 sec   573 KBytes  9.38 Mbits/sec
[  3] 19.0-19.5 sec   636 KBytes  10.4 Mbits/sec
[  3] 19.5-20.0 sec   636 KBytes  10.4 Mbits/sec
[  3] 20.0-20.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 20.5-21.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 21.0-21.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 21.5-22.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 22.0-22.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 22.5-23.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 23.0-23.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 23.5-24.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 24.0-24.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 24.5-25.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 25.0-25.5 sec  0.00 Bytes  0.00 bits/sec
[  3] 25.5-26.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 26.0-26.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 26.5-27.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 27.0-27.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 27.5-28.0 sec  63.6 KBytes  1.04 Mbits/sec
