1667059992.923558, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:74255044 lastrcv:74255044 lastack:74255044 unacked:1 rcv_ssthresh:42340
1667059992.973402, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:74255056 lastrcv:74255056 lastack:74255056 unacked:1 rcv_ssthresh:42340
1667059992.987693, 	 reno wscale:8,9 rto:244 rtt:41.063/20.531 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps lastsnd:8 lastrcv:8 lastack:8 pacing_rate 5.6Mbps delivered:1 busy:8ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:41.063
1667059993.002123, 	 reno wscale:8,9 rto:240 rtt:36.453/19.508 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:14 bytes_sent:26064 bytes_acked:5793 segs_out:20 segs_in:3 data_segs_out:18 send 4.4Mbps lastsnd:4 lastrcv:24 lastack:4 pacing_rate 8.9Mbps delivery_rate 2.1Mbps delivered:5 app_limited busy:24ms unacked:14 rcv_space:14480 rcv_ssthresh:42242 notsent:83984 minrtt:20.907
1667059993.016650, 	 reno wscale:8,9 rto:236 rtt:33.955/15.244 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:18 bytes_sent:37648 bytes_acked:11585 segs_out:28 segs_in:5 data_segs_out:26 send 6.1Mbps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 12.3Mbps delivery_rate 3.5Mbps delivered:9 app_limited busy:36ms unacked:18 rcv_space:14480 rcv_ssthresh:42242 notsent:72400 minrtt:20.907
1667059993.031677, 	 reno wscale:8,9 rto:232 rtt:28.585/7.269 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_sent:47784 bytes_retrans:5792 bytes_acked:11585 segs_out:35 segs_in:11 data_segs_out:33 send 3.6Mbps lastrcv:52 pacing_rate 10.2Mbps delivery_rate 5.2Mbps delivered:21 busy:52ms unacked:21 retrans:4/4 lost:4 sacked:12 rcv_space:14480 rcv_ssthresh:42242 notsent:68056 minrtt:20.454
1667059993.048360, 	 reno wscale:8,9 rto:228 rtt:25.225/6.642 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:7 ssthresh:9 bytes_sent:53576 bytes_retrans:8688 bytes_acked:28961 segs_out:39 segs_in:15 data_segs_out:37 send 3.2Mbps lastrcv:68 pacing_rate 6.1Mbps delivery_rate 3.6Mbps delivered:25 busy:68ms unacked:11 retrans:4/6 lost:4 sacked:4 rcv_space:14480 rcv_ssthresh:42242 notsent:160728 minrtt:20
1667059993.062927, 	 reno wscale:8,9 rto:224 rtt:23.314/4.62 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_sent:63712 bytes_retrans:8688 bytes_acked:34753 segs_out:46 segs_in:19 data_segs_out:44 send 4.5Mbps lastrcv:84 pacing_rate 7.8Mbps delivery_rate 3.9Mbps delivered:30 busy:84ms unacked:14 retrans:2/6 lost:2 sacked:5 rcv_space:14480 rcv_ssthresh:42242 notsent:150592 minrtt:20
1667059993.077163, 	 reno wscale:8,9 rto:224 rtt:22.268/2.194 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_sent:73848 bytes_retrans:8688 bytes_acked:52129 segs_out:53 segs_in:24 data_segs_out:51 send 4.7Mbps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 5.6Mbps delivery_rate 4.8Mbps delivered:37 busy:100ms unacked:9 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:140456 minrtt:20
1667059993.091714, 	 reno wscale:8,9 rto:224 rtt:21.358/1.576 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 ssthresh:9 bytes_sent:82536 bytes_retrans:8688 bytes_acked:59369 segs_out:59 segs_in:29 data_segs_out:57 send 5.4Mbps lastrcv:112 pacing_rate 6.5Mbps delivery_rate 5.0Mbps delivered:42 busy:112ms unacked:10 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:131768 minrtt:20
1667059993.105250, 	 reno wscale:8,9 rto:224 rtt:21.072/0.891 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 ssthresh:9 bytes_sent:91224 bytes_retrans:8688 bytes_acked:68057 segs_out:65 segs_in:33 data_segs_out:63 send 5.5Mbps lastrcv:124 pacing_rate 6.6Mbps delivery_rate 5.0Mbps delivered:48 busy:124ms unacked:10 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:123080 minrtt:20
