1667098453.112222, 	 reno wscale:8,9 rto:268 rtt:64.185/12.605 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:129 bytes_sent:359104 bytes_acked:172313 segs_out:250 segs_in:53 data_segs_out:248 send 23.3Mbps lastsnd:4 lastrcv:172 lastack:4 pacing_rate 46.6Mbps delivery_rate 9.7Mbps delivered:120 busy:172ms unacked:129 rcv_space:14480 rcv_ssthresh:42242 notsent:799296 minrtt:20.388
1667098453.125827, 	 reno wscale:8,9 rto:272 rtt:71.089/13.304 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:141 bytes_sent:393856 bytes_acked:189689 segs_out:274 segs_in:57 data_segs_out:272 send 23.0Mbps lastrcv:184 pacing_rate 46.0Mbps delivery_rate 9.7Mbps delivered:132 busy:184ms unacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:764544 minrtt:20.388
1667098453.140158, 	 reno wscale:8,9 rto:280 rtt:78.147/13.76 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:153 bytes_sent:428608 bytes_acked:207065 segs_out:298 segs_in:61 data_segs_out:296 send 22.7Mbps lastrcv:200 pacing_rate 45.4Mbps delivery_rate 9.6Mbps delivered:144 busy:200ms unacked:153 rcv_space:14480 rcv_ssthresh:42242 notsent:729792 minrtt:20.388
1667098453.154505, 	 reno wscale:8,9 rto:288 rtt:85.419/14.116 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:165 bytes_sent:463360 bytes_acked:224441 segs_out:322 segs_in:65 data_segs_out:320 send 22.4Mbps lastrcv:212 pacing_rate 44.8Mbps delivery_rate 9.7Mbps delivered:156 busy:212ms unacked:165 rcv_space:14480 rcv_ssthresh:42242 notsent:695040 minrtt:20.388
1667098453.168796, 	 reno wscale:8,9 rto:296 rtt:92.99/14.747 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:177 bytes_sent:498112 bytes_acked:241817 segs_out:346 segs_in:69 data_segs_out:344 send 22.0Mbps lastrcv:228 pacing_rate 44.1Mbps delivery_rate 9.6Mbps delivered:168 busy:228ms unacked:177 rcv_space:14480 rcv_ssthresh:42242 notsent:1181568 minrtt:20.388
1667098453.183122, 	 reno wscale:8,9 rto:300 rtt:98.656/14.941 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:186 bytes_sent:524176 bytes_acked:254849 segs_out:364 segs_in:72 data_segs_out:362 send 21.8Mbps lastrcv:240 pacing_rate 43.7Mbps delivery_rate 9.6Mbps delivered:177 busy:240ms unacked:186 rcv_space:14480 rcv_ssthresh:42242 notsent:1155504 minrtt:20.388
1667098453.197404, 	 reno wscale:8,9 rto:308 rtt:106.229/15.133 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:198 bytes_sent:558928 bytes_acked:272225 segs_out:388 segs_in:76 data_segs_out:386 send 21.6Mbps lastsnd:4 lastrcv:256 lastack:4 pacing_rate 43.2Mbps delivery_rate 9.6Mbps delivered:189 busy:256ms unacked:198 rcv_space:14480 rcv_ssthresh:42242 notsent:1120752 minrtt:20.388
1667098453.210801, 	 reno wscale:8,9 rto:316 rtt:113.556/14.87 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:210 bytes_sent:593680 bytes_acked:289601 segs_out:412 segs_in:80 data_segs_out:410 send 21.4Mbps lastrcv:268 pacing_rate 42.8Mbps delivery_rate 9.6Mbps delivered:201 busy:268ms unacked:210 rcv_space:14480 rcv_ssthresh:42242 notsent:1086000 minrtt:20.388
1667098453.224161, 	 reno wscale:8,9 rto:320 rtt:118.923/14.518 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:219 bytes_sent:619744 bytes_acked:302633 segs_out:430 segs_in:83 data_segs_out:428 send 21.3Mbps lastrcv:280 pacing_rate 42.7Mbps delivery_rate 9.6Mbps delivered:210 busy:280ms unacked:219 rcv_space:14480 rcv_ssthresh:42242 notsent:1059936 minrtt:20.388
1667098453.237295, 	 reno wscale:8,9 rto:328 rtt:126.278/14.542 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:231 bytes_sent:654496 bytes_acked:320009 segs_out:454 segs_in:87 data_segs_out:452 send 21.2Mbps lastsnd:4 lastrcv:296 lastack:4 pacing_rate 42.4Mbps delivery_rate 9.6Mbps delivered:222 busy:296ms unacked:231 rcv_space:14480 rcv_ssthresh:42242 notsent:1025184 minrtt:20.388
