1667098641.200731, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93640444 lastrcv:93640444 lastack:93640444 unacked:1 rcv_ssthresh:42340
1667098641.214865, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93640456 lastrcv:93640456 lastack:93640456 unacked:1 rcv_ssthresh:42340
1667098641.229216, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93640472 lastrcv:93640472 lastack:93640472 unacked:1 rcv_ssthresh:42340
1667098641.243650, 	 reno wscale:8,9 rto:244 rtt:41.711/20.855 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 5.6Mbps delivered:1 busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:41.711
1667098641.258887, 	 reno wscale:8,9 rto:236 rtt:33.708/12.961 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.9Mbps lastrcv:28 pacing_rate 13.7Mbps delivery_rate 3.9Mbps delivered:11 app_limited busy:28ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:127424 minrtt:20.724
1667098641.273348, 	 reno wscale:8,9 rto:232 rtt:30.79/12.316 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 bytes_sent:55024 bytes_acked:20273 segs_out:40 segs_in:8 data_segs_out:38 send 9.0Mbps lastrcv:44 pacing_rate 18.1Mbps delivery_rate 6.4Mbps delivered:15 busy:44ms unacked:24 rcv_space:14480 rcv_ssthresh:42242 notsent:115840 minrtt:20.724
1667098641.287721, 	 reno wscale:8,9 rto:232 rtt:28.752/4.125 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:36 bytes_sent:89776 bytes_acked:37649 segs_out:64 segs_in:14 data_segs_out:62 send 14.5Mbps lastsnd:4 lastrcv:60 lastack:4 pacing_rate 29.0Mbps delivery_rate 6.9Mbps delivered:27 busy:60ms unacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:217200 minrtt:20.724
1667098641.302391, 	 reno wscale:8,9 rto:232 rtt:28.059/2.515 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:48 bytes_sent:124528 bytes_acked:55025 segs_out:88 segs_in:20 data_segs_out:86 send 19.8Mbps lastrcv:72 pacing_rate 39.6Mbps delivery_rate 9.6Mbps delivered:39 busy:72ms unacked:48 rcv_space:14480 rcv_ssthresh:42242 notsent:182448 minrtt:20.724
1667098641.316011, 	 reno wscale:8,9 rto:232 rtt:30.09/3.383 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:58 bytes_sent:150592 bytes_acked:69505 segs_out:106 segs_in:25 data_segs_out:104 send 22.3Mbps lastrcv:84 pacing_rate 44.7Mbps delivery_rate 9.7Mbps delivered:49 busy:84ms unacked:56 rcv_space:14480 rcv_ssthresh:42242 notsent:356208 minrtt:20.724
1667098641.329522, 	 reno wscale:8,9 rto:236 rtt:35.147/6.334 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:70 bytes_sent:185344 bytes_acked:86881 segs_out:130 segs_in:31 data_segs_out:128 send 23.1Mbps lastrcv:100 pacing_rate 46.1Mbps delivery_rate 9.5Mbps delivered:61 busy:100ms unacked:68 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:20.724
1667098641.342804, 	 reno wscale:8,9 rto:244 rtt:41.291/7.902 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:82 bytes_sent:220096 bytes_acked:104257 segs_out:154 segs_in:37 data_segs_out:152 send 23.0Mbps lastrcv:112 pacing_rate 46.0Mbps delivery_rate 9.6Mbps delivered:73 busy:112ms unacked:80 rcv_space:14480 rcv_ssthresh:42242 notsent:547344 minrtt:20.724
