1667098548.228401, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93547472 lastrcv:93547472 lastack:93547472 unacked:1 rcv_ssthresh:42340
1667098548.243173, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93547484 lastrcv:93547484 lastack:93547484 unacked:1 rcv_ssthresh:42340
1667098548.256852, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93547500 lastrcv:93547500 lastack:93547500 unacked:1 rcv_ssthresh:42340
1667098548.270828, 	 reno wscale:8,9 rto:244 rtt:40.75/20.375 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps pacing_rate 5.7Mbps delivered:1 unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:40.75
1667098548.285135, 	 reno wscale:8,9 rto:244 rtt:40.75/20.375 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 5.7Mbps delivered:1 busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:40.75
1667098548.299904, 	 reno wscale:8,9 rto:236 rtt:33.018/12.597 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 7.0Mbps lastrcv:28 pacing_rate 14.0Mbps delivery_rate 4.0Mbps delivered:11 app_limited busy:28ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:127424 minrtt:20.363
1667098548.314132, 	 reno wscale:8,9 rto:232 rtt:29.236/10.867 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 bytes_sent:60816 bytes_acked:23169 segs_out:44 segs_in:9 data_segs_out:42 send 10.3Mbps lastrcv:44 pacing_rate 20.6Mbps delivery_rate 6.1Mbps delivered:17 busy:44ms unacked:26 rcv_space:14480 rcv_ssthresh:42242 notsent:110048 minrtt:20.363
1667098548.327589, 	 reno wscale:8,9 rto:232 rtt:28.414/3.439 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:38 bytes_sent:95568 bytes_acked:40545 segs_out:68 segs_in:15 data_segs_out:66 send 15.5Mbps lastrcv:56 pacing_rate 31.0Mbps delivery_rate 7.0Mbps delivered:29 busy:56ms unacked:38 rcv_space:14480 rcv_ssthresh:42242 notsent:211408 minrtt:20.363
1667098548.341509, 	 reno wscale:8,9 rto:228 rtt:27.75/2.518 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:48 bytes_sent:124528 bytes_acked:55025 segs_out:88 segs_in:20 data_segs_out:86 send 20.0Mbps lastsnd:4 lastrcv:72 lastack:4 pacing_rate 40.1Mbps delivery_rate 9.6Mbps delivered:39 busy:72ms unacked:48 rcv_space:14480 rcv_ssthresh:42242 notsent:182448 minrtt:20.363
1667098548.355048, 	 reno wscale:8,9 rto:232 rtt:30.74/4.362 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:60 bytes_sent:159280 bytes_acked:72401 segs_out:112 segs_in:26 data_segs_out:110 send 22.6Mbps lastrcv:84 pacing_rate 45.2Mbps delivery_rate 9.5Mbps delivered:51 busy:84ms unacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:347520 minrtt:20.363
1667098548.368443, 	 reno wscale:8,9 rto:236 rtt:35.071/6.45 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:70 bytes_sent:185344 bytes_acked:86881 segs_out:130 segs_in:31 data_segs_out:128 send 23.1Mbps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 46.2Mbps delivery_rate 9.6Mbps delivered:61 busy:100ms unacked:68 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:20.363
